strain	collection_date	geographic_location	consensus_lat	consensus_lon	Pandemic	PubUse
CMCC84046	1984	"Yunnan, China"	26.53	99.88	Third Pandemic	Used
CMCC87001	1982	"Yunnan, China"	24	97.83	Third Pandemic	Used
CMCC90027	1970	"Inner Mongolia, China"	43.85	113.7	Third Pandemic	Used
CMCC91090	1970	"Inner Mongolia, China"	44.03	114.97	Third Pandemic	Used
CMCC92004	1957	"Inner Mongolia, China"	42.47	112.95	Third Pandemic	Used
CMCC92010	1971	"Inner Mongolia, China"	42.47	112.95	Third Pandemic	Used
CMCC93014	1970	"Inner Mongolia, China"	43.95	116.08	Third Pandemic	Used
CMCC95001	1970	"Inner Mongolia, China"	42.32	115	Third Pandemic	Used
CMCC96001	1957	"Inner Mongolia, China"	42.25	116.02	Third Pandemic	Used
CMCC96007	1989	"Inner Mongolia, China"	42.25	116.02	Third Pandemic	Used
CMCC99103	1970	"Inner Mongolia, China"	39.12	107.97	Third Pandemic	Used
CMCCK100001	1991	"Yunnan, China"	24.08	98.08	Third Pandemic	Used
CMCCK110001	1991	"Yunnan, China"	23.92	99.02	Third Pandemic	Used
CMCCN010025	2000	"Sichuan, China"	33.01	98.06	Third Pandemic	Used
CO92	1992	"Colorado, USA"	39.550051	-105.782067	Third Pandemic	Used
D106004	2006	China: Yulong County	26.821459	100.236954	Third Pandemic	Unused
D182038	1982	China: Jianchuan County	26.537033	99.905559	Third Pandemic	Unused
D1964001	1964	"Qinghai, China"	37.37	101.62	Third Pandemic	Used
D1964002	1964	"Qinghai, China"	37.37	101.62	Third Pandemic	Used
D1982001	1982	"Gansu, China"	38.86	99.57	Third Pandemic	Used
D1991004	1991	"Qinghai, China"	35.03	101.5	Third Pandemic	Used
Dodson	1967	"USA: Tuba City, AZ"	36.134993	-111.239863	Third Pandemic	Unused
E1977001	1977	"Yunnan, China"	26.53	99.88	Third Pandemic	Used
EBD10-058	2010	"Canada: Grasslands National Park, Saskatchewan"	49.128598	-107.425616	Third Pandemic	Unused
El Dorado	2002	USA: NY: New York	40.712775	-74.005973	Third Pandemic	Unused
Ellwangen549_O	1485-1627	"Germany, Ellwangen"	48.962683	10.130151	Second Pandemic	Used
EV NIIEG	1941	Russia	61.52401	105.318756	Third Pandemic	Unused
EV76-CN	1922	China	-18.766947	46.869107	Third Pandemic	Unused
EV76D	1922	Madagascar	-18.843222	47.469747	Third Pandemic	Used
F1946001	1946	"Fujian, China"	26.58	118.75	Third Pandemic	Used
F1954001	1954	"Yunnan, China"	25.48	100.56	Third Pandemic	Used
F1984001	1984	"Yunnan, China"	24.69	97.93	Third Pandemic	Used
F1991016	1991	"Yunnan, China"	23.15	99.24	Third Pandemic	Used
FV-1	2001	USA	37.09024	-95.712891	Third Pandemic	Unused
G1670	1979	Georgia: Ninotsminda	41.27137	43.587939	Third Pandemic	Unused
G1670A	1979	Georgia: Ninotsminda	41.27137	43.587939	Third Pandemic	Unused
G1670E	1979	Georgia: Ninotsminda	41.27137	43.587939	Third Pandemic	Unused
G1996006	1996	"Tibet, China"	27.98	91.91	Third Pandemic	Used
G1996010	1996	"Tibet, China"	28.46	92.42	Third Pandemic	Used
G3768	1983	Georgia: Ninotsminda	41.27137	43.587939	Third Pandemic	Unused
G8786	1992	Georgia: Ninotsminda	41.27137	43.587939	Third Pandemic	Used
GEN72	-2771	"Croatia, Beli Manastir"	45.772866	18.610752	Stone Age/Bronze Age	Used
Gyvakarai1	-2535	"Lithuania, Gyvakarai"	55.913699	24.890069	Stone Age/Bronze Age	Used
H1958004	1958	"Jilin, China"	43.87	126.57	Third Pandemic	Used
H1959004	1959	"Jilin, China"	45.2	124.82	Third Pandemic	Used
Harbin 35	1940	China: Manchuria	45.323359	124.490099	Third Pandemic	Unused
I160001	1987	"Xinjiang, China"	38.09	85.32	Third Pandemic	Used
I1969003	1969	"Ningxia, China"	38.1	106.34	Third Pandemic	Used
I1970005	1970	"Inner Mongolia, China"	39.12	107.97	Third Pandemic	Used
I1991001	1991	"Inner Mongolia, China"	41.55	108.52	Third Pandemic	Used
I1994006	1994	"Hebei, China"	41.87	114.6	Third Pandemic	Used
I1996	1980	Russia: Zabaicalskiy krai	50.609718	115.708895	Third Pandemic	Unused
I2001001	2001	"Shaanxi, China"	37.6	107.59	Third Pandemic	Used
INS	2010	Peru	-9.189967	-75.015152	Third Pandemic	Unused
IP275	1995	Madagascar	-18.766947	46.869107	Third Pandemic	Used
IP542	1952	Kenya	-0.033559	37.896193	Third Pandemic	This Study
IP543	1953	Congo	-4.0482	21.748664	Third Pandemic	This Study
