strain	collection_date	geographic_location	latitude	longitude	latitude_and_longitude	doogal_address	doogal_lat	doogal_long	consensus_lat	consensus_lon
PY-05	2006	"Peru, Chota"			missing	"Peru, Chota"	-6.558193	-78.648384	-6.558193	-78.648384
PY-06	2006	"Peru, Chota"			missing	"Peru, Chota"	-6.558193	-78.648384	-6.558193	-78.648384
PY-07	2006	"Peru, Chota"			missing	"Peru, Chota"	-6.558193	-78.648384	-6.558193	-78.648384
PY-08	2006	"Peru, Jaen"			missing	"Peru, Jaen"	-5.709441	-78.798618	-5.709441	-78.798618
PY-09	2006	"Peru, Jaen"			missing	"Peru, Jaen"	-5.709441	-78.798618	-5.709441	-78.798618
PY-10	2006	"Peru, Jaen"			missing	"Peru, Jaen"	-5.709441	-78.798618	-5.709441	-78.798618
PY-11	2007	Peru:Chota			missing	Peru:Chota	-6.558193	-78.648384	-6.558193	-78.648384
PY-12	2008	Peru:Jean			missing	Peru:Jean	-5.709441	-78.798618	-5.709441	-78.798618
PY-13	2008	Peru:Santa Cruz			missing	Peru:Santa Cruz	-8.89429	-77.7083	-8.89429	-77.7083
PY-14	2009	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-15	2009	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-16	2009	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-19	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-100	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-101	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-103	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-102	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-113	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-25	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-29	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-34	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-36	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-32	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-42	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-54	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-45	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-47	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-53	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-55	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-52	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-46	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-48	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-58	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-59	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-61	2010	Peru:Trujillo			missing	Peru:Trujillo	-8.109052	-79.021534	-8.109052	-79.021534
PY-63	2010	Peru:Trujillo			missing	Peru:Trujillo	-8.109052	-79.021534	-8.109052	-79.021534
PY-64	2010	Peru:Trujillo			missing	Peru:Trujillo	-8.109052	-79.021534	-8.109052	-79.021534
PY-66	2010	Peru:Trujillo			missing	Peru:Trujillo	-8.109052	-79.021534	-8.109052	-79.021534
PY-56	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-60	2010	Peru:Trujillo			missing	Peru:Trujillo	-8.109052	-79.021534	-8.109052	-79.021534
PY-65	2010	Peru:Trujillo			missing	Peru:Trujillo	-8.109052	-79.021534	-8.109052	-79.021534
PY-71	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-72	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
PY-76	2010	Peru:Ascope			missing	Peru:Ascope	-7.714114	-79.107256	-7.714114	-79.107256
