strain	collection_date	geographic_location	consensus_lat	consensus_lon	Pandemic	Established	count_match	
MGJZ12	2002	"Bayan-Olgii, Mongolia"	48.18	89.5	Third Pandemic	Yes	2	1
MGJZ3	1980	"Govi-Altai, Mongolia"	45.3	95.3	Third Pandemic	Yes	2	1
MGJZ6	1997	"Dornogovi, Mongolia"	43.7	110.28	Third Pandemic	Yes	2	1
MGJZ7	1997	"Dornogovi, Mongolia"	43.7	110.28	Third Pandemic	Yes	2	1
MGJZ9	1998	"Govi-Altai, Mongolia"	45.3	95.3	Third Pandemic	Yes	2	1
Nairobi	1985	Kenya: Nairobi	-1.292066	36.821946	Third Pandemic	No	1	0
Nepal516	1967	Nepal	28.394857	84.124008	Third Pandemic	Yes	1	1
Nicholisk 41	2008	China: Manchuria	45.323359	124.490099	Third Pandemic	No	3	0
OBS107	1720-1722	"France, Marseille"	43.296482	5.36978	Second Pandemic	Yes	5	1
OBS110	1720-1722	"France, Marseille"	43.296482	5.36978	Second Pandemic	Yes	5	1
OBS116	1720-1722	"France, Marseille"	43.296482	5.36978	Second Pandemic	Yes	5	1
OBS124	1720-1722	"France, Marseille"	43.296482	5.36978	Second Pandemic	Yes	5	1
OBS137	1720-1722	"France, Marseille"	43.296482	5.36978	Second Pandemic	Yes	5	1
PBM19	Missing	Unknown	41.626271	-79.673584	Third Pandemic	No	1	0
Pestoides A	Missing	Kazakhstan	48.019573	66.923684	Third Pandemic	Yes	1	1
Pestoides B	<1984	Altai Mountains	49.68891	86.079515	Third Pandemic	No	14	0
Pestoides F	<1984	Armenia	40.069099	45.038189	Third Pandemic	Yes	2	1
Pestoides G	<1984	USSR	41.117269	-73.414394	Third Pandemic	No	1	0
Post6	-1923	"Germany, Augsburg"	48.370545	10.89779	Stone Age/Bronze Age	Yes	2	1
PY-01	2006	Peru:Chota	-6.558193	-78.648384	Third Pandemic	No	11	0
PY-02	2006	Peru:Jaen	-5.709441	-78.798618	Third Pandemic	No	6	0
PY-03	2006	"Peru, Jaen"	-5.709441	-78.798618	Third Pandemic	No	6	0
PY-04	2006	"Peru, Chota"	-6.558193	-78.648384	Third Pandemic	No	11	0
PY-05	2006	"Peru, Chota"	-6.558193	-78.648384	Third Pandemic	No	11	0
PY-06	2006	"Peru, Chota"	-6.558193	-78.648384	Third Pandemic	No	11	0
PY-07	2006	"Peru, Chota"	-6.558193	-78.648384	Third Pandemic	No	11	0
PY-08	2006	"Peru, Jaen"	-5.709441	-78.798618	Third Pandemic	No	6	0
PY-09	2006	"Peru, Jaen"	-5.709441	-78.798618	Third Pandemic	No	6	0
PY-10	2006	"Peru, Jaen"	-5.709441	-78.798618	Third Pandemic	No	6	0
PY-100	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-101	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-102	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-103	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-11	2007	Peru:Chota	-6.558193	-78.648384	Third Pandemic	No	11	0
PY-113	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-12	2008	Peru:Jean	-5.709441	-78.798618	Third Pandemic	No	6	0
PY-13	2008	Peru:Santa Cruz	-8.89429	-77.7083	Third Pandemic	No	1	0
PY-14	2009	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-15	2009	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-16	2009	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-19	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-25	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-29	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-32	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-34	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-36	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-42	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-45	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-46	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-47	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-48	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-52	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-53	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-54	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-55	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-56	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-58	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-59	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	No	32	0
PY-60	2010	Peru:Trujillo	-8.109052	-79.021534	Third Pandemic	No	6	0
PY-61	2010	Peru:Trujillo	-8.109052	-79.021534	Third Pandemic	No	6	0
PY-63	2010	Peru:Trujillo	-8.109052	-79.021534	Third Pandemic	No	6	0
PY-64	2010	Peru:Trujillo	-8.109052	-79.021534	Third Pandemic	No	6	0
PY-65	2010	Peru:Trujillo	-8.109052	-79.021534	Third Pandemic	No	6	0
